时间,动作,进入对白1,进入对白2,成功对白,失败对白,结束对白
上午,日常,早上好！今天心情不错！,早！昨天太辛苦了，不想起床啊！,null,null,null
上午,上课,我要变成实力派！,其实有点害怕见到老师呢。,null,null,早上真的可以学到很多东西！
上午,练习,我们一起排练吧！,跳舞不能数拍子。,成功了！老师夸我今天表现很好，好开心！,失败了……果然还是需要练习吧，我一定会继续加油的！,null
上午,互动,互动1,null,null,null,null
上午,休息,早上完全不能集中精神！休息一下吧！,昨天晚上熬夜没睡好啊！,null,null,null
下午,日常,下午好！,下午了~漫长的一天要随时保持积极的心态！,null,null,null
下午,上课,跟着胡彦斌老师学习了创作，感觉自己也可以写出歌词了呢！,跟着张杰老师学习了声乐，一点都不明白“啊~啊~啊~”有什么用，但是我会继续加油的！,null,null,今天收获很多！
下午,练习,下午也要继续练习不能偷懒哦！,偷偷吃块巧克力补充能量~,成功了！老师夸我今天表现很好，好开心！,失败了……果然还是需要练习吧，我一定会继续加油的！,null
下午,互动,互动2,null,null,null,null
下午,休息,下午很困，还是休息一下再练习吧！,啊~昨天太累了，休息一啊！,null,null,null
晚上,日常,晚上了，也是努力的一天！,晚上好！坚持到底就是胜利！,null,null,null
晚上,上课,跳舞有点跟不上，每次都手忙脚乱，我也想学会跳舞。,今天罗志祥老师带我们进行了体能训练，真的好累哦……,null,null,晚上上课就像宵夜一样开心！
晚上,练习,晚上也要努力练习！,不能辜负大家的期望！,成功了！老师夸我今天表现很好，好开心！,失败了……晚上练习的效率不行啊……,null
晚上,互动,互动3,null,null,null,null
晚上,休息,好困好困好困我真的好困，眼睛都睁不开了，还是先去睡觉补充一下能量吧！,呼……不知不觉又练习了这么久，不知道自己有没有超越自己，但是为了新一天的练习，我还是先去睡觉吧！,null,null,null
深夜,日常,今天要到深夜也不能睡啊~,月亮又大又圆，好好看！,null,null,null
深夜,上课,null,null,null,null,null
深夜,练习,深夜的练习是一个人的战斗！,今天要练到几点呢？,成功了！老师夸我今天表现很好，好开心！,失败了……晚上练习的效率不行啊……,深夜练习真的好累。
深夜,互动,互动4,null,null,null,null
深夜,休息,戴了美瞳的眼睛好酸好痛，他们都说我的眼睛红红的，我还是先去休息一下吧，不然明天眼睛红红的不好看。,夜深了，大家都睡了，我也去睡吧！,null,null,null
